solar 1.367000048048794e+03
albedo 3.499999940395355e-01
planet 2.360000071348623e+02
useTimeVaryAlbIR 0
useTimeVarySolar 0
DiffuseSolarFlux 0.000000000000000e+00
UseTimeVaryDiffuseSolar 0
DiffuseSkyIRFlux 0.000000000000000e+00
UseTimeVaryDiffuseSkyIR 0
Period 5.563459258777771e+03
FullOrbit 1
IsTerrestrial 0
IsFmh 0
315
     Time,    mean,   true, Illum       Sun Vector              Planet Vector    Orbit Radius
        0,    0.00,    0.00 sun,   < 0.000, 0.000,-1.000>, < 0.000, 0.000, 1.000>,  1.064
  55.6346,    3.60,    3.60 sun,   <-0.063, 0.000,-0.998>, < 0.000, 0.000, 1.000>,  1.064
  111.269,    7.20,    7.20 sun,   <-0.125, 0.000,-0.992>, < 0.000, 0.000, 1.000>,  1.064
  166.904,   10.80,   10.80 sun,   <-0.187, 0.000,-0.982>, < 0.000, 0.000, 1.000>,  1.064
  222.538,   14.40,   14.40 sun,   <-0.249, 0.000,-0.969>, < 0.000, 0.000, 1.000>,  1.064
  278.173,   18.00,   18.00 sun,   <-0.309, 0.000,-0.951>, < 0.000, 0.000, 1.000>,  1.064
  333.808,   21.60,   21.60 sun,   <-0.368, 0.000,-0.930>, < 0.000, 0.000, 1.000>,  1.064
  389.442,   25.20,   25.20 sun,   <-0.426, 0.000,-0.905>, < 0.000, 0.000, 1.000>,  1.064
  445.077,   28.80,   28.80 sun,   <-0.482, 0.000,-0.876>, < 0.000, 0.000, 1.000>,  1.064
  500.711,   32.40,   32.40 sun,   <-0.536, 0.000,-0.844>, < 0.000, 0.000, 1.000>,  1.064
  556.346,   36.00,   36.00 sun,   <-0.588, 0.000,-0.809>, < 0.000, 0.000, 1.000>,  1.064
  611.981,   39.60,   39.60 sun,   <-0.637, 0.000,-0.771>, < 0.000, 0.000, 1.000>,  1.064
  667.615,   43.20,   43.20 sun,   <-0.685, 0.000,-0.729>, < 0.000, 0.000, 1.000>,  1.064
   723.25,   46.80,   46.80 sun,   <-0.729, 0.000,-0.685>, < 0.000, 0.000, 1.000>,  1.064
  778.884,   50.40,   50.40 sun,   <-0.771, 0.000,-0.637>, <-0.000, 0.000, 1.000>,  1.064
  834.519,   54.00,   54.00 sun,   <-0.809, 0.000,-0.588>, < 0.000, 0.000, 1.000>,  1.064
  890.153,   57.60,   57.60 sun,   <-0.844, 0.000,-0.536>, < 0.000, 0.000, 1.000>,  1.064
  945.788,   61.20,   61.20 sun,   <-0.876, 0.000,-0.482>, < 0.000, 0.000, 1.000>,  1.064
  1001.42,   64.80,   64.80 sun,   <-0.905, 0.000,-0.426>, < 0.000, 0.000, 1.000>,  1.064
  1057.06,   68.40,   68.40 sun,   <-0.930, 0.000,-0.368>, <-0.000, 0.000, 1.000>,  1.064
  1112.69,   72.00,   72.00 sun,   <-0.951, 0.000,-0.309>, < 0.000, 0.000, 1.000>,  1.064
  1168.33,   75.60,   75.60 sun,   <-0.969, 0.000,-0.249>, < 0.000, 0.000, 1.000>,  1.064
  1223.96,   79.20,   79.20 sun,   <-0.982, 0.000,-0.187>, < 0.000, 0.000, 1.000>,  1.064
   1279.6,   82.80,   82.80 sun,   <-0.992, 0.000,-0.125>, < 0.000, 0.000, 1.000>,  1.064
  1335.23,   86.40,   86.40 sun,   <-0.998, 0.000,-0.063>, < 0.000, 0.000, 1.000>,  1.064
  1390.86,   90.00,   90.00 sun,   <-1.000, 0.000,-0.000>, < 0.000, 0.000, 1.000>,  1.064
   1446.5,   93.60,   93.60 sun,   <-0.998,-0.000, 0.063>, < 0.000, 0.000, 1.000>,  1.064
  1502.13,   97.20,   97.20 sun,   <-0.992,-0.000, 0.125>, < 0.000, 0.000, 1.000>,  1.064
  1557.77,  100.80,  100.80 sun,   <-0.982,-0.000, 0.187>, < 0.000, 0.000, 1.000>,  1.064
   1613.4,  104.40,  104.40 sun,   <-0.969,-0.000, 0.249>, < 0.000, 0.000, 1.000>,  1.064
  1669.04,  108.00,  108.00 sun,   <-0.951,-0.000, 0.309>, < 0.000, 0.000, 1.000>,  1.064
  1699.44,  109.97,  109.97 entry, <-0.940,-0.000, 0.341>, < 0.000, 0.000, 1.000>,  1.064
  1724.67,  111.60,  111.60 shade, <-0.930,-0.000, 0.368>, < 0.000, 0.000, 1.000>,  1.064
  1780.31,  115.20,  115.20 shade, <-0.905,-0.000, 0.426>, < 0.000, 0.000, 1.000>,  1.064
  1835.94,  118.80,  118.80 shade, <-0.876,-0.000, 0.482>, < 0.000, 0.000, 1.000>,  1.064
  1891.58,  122.40,  122.40 shade, <-0.844,-0.000, 0.536>, < 0.000, 0.000, 1.000>,  1.064
  1947.21,  126.00,  126.00 shade, <-0.809,-0.000, 0.588>, < 0.000, 0.000, 1.000>,  1.064
  2002.85,  129.60,  129.60 shade, <-0.771,-0.000, 0.637>, < 0.000, 0.000, 1.000>,  1.064
  2058.48,  133.20,  133.20 shade, <-0.729,-0.000, 0.685>, < 0.000, 0.000, 1.000>,  1.064
  2114.11,  136.80,  136.80 shade, <-0.685,-0.000, 0.729>, < 0.000, 0.000, 1.000>,  1.064
  2169.75,  140.40,  140.40 shade, <-0.637,-0.000, 0.771>, <-0.000, 0.000, 1.000>,  1.064
  2225.38,  144.00,  144.00 shade, <-0.588,-0.000, 0.809>, < 0.000, 0.000, 1.000>,  1.064
  2281.02,  147.60,  147.60 shade, <-0.536,-0.000, 0.844>, <-0.000, 0.000, 1.000>,  1.064
  2336.65,  151.20,  151.20 shade, <-0.482,-0.000, 0.876>, < 0.000, 0.000, 1.000>,  1.064
  2392.29,  154.80,  154.80 shade, <-0.426,-0.000, 0.905>, < 0.000, 0.000, 1.000>,  1.064
  2447.92,  158.40,  158.40 shade, <-0.368,-0.000, 0.930>, < 0.000, 0.000, 1.000>,  1.064
  2503.56,  162.00,  162.00 shade, <-0.309,-0.000, 0.951>, < 0.000, 0.000, 1.000>,  1.064
  2559.19,  165.60,  165.60 shade, <-0.249,-0.000, 0.969>, < 0.000, 0.000, 1.000>,  1.064
  2614.83,  169.20,  169.20 shade, <-0.187,-0.000, 0.982>, <-0.000, 0.000, 1.000>,  1.064
  2670.46,  172.80,  172.80 shade, <-0.125,-0.000, 0.992>, < 0.000, 0.000, 1.000>,  1.064
   2726.1,  176.40,  176.40 shade, <-0.063,-0.000, 0.998>, < 0.000, 0.000, 1.000>,  1.064
  2781.73,  180.00,  180.00 shade, <-0.000,-0.000, 1.000>, < 0.000, 0.000, 1.000>,  1.064
  2837.36,  183.60,  183.60 shade, < 0.063, 0.000, 0.998>, < 0.000, 0.000, 1.000>,  1.064
     2893,  187.20,  187.20 shade, < 0.125, 0.000, 0.992>, < 0.000, 0.000, 1.000>,  1.064
  2948.63,  190.80,  190.80 shade, < 0.187, 0.000, 0.982>, < 0.000, 0.000, 1.000>,  1.064
  3004.27,  194.40,  194.40 shade, < 0.249, 0.000, 0.969>, < 0.000, 0.000, 1.000>,  1.064
   3059.9,  198.00,  198.00 shade, < 0.309, 0.000, 0.951>, < 0.000, 0.000, 1.000>,  1.064
  3115.54,  201.60,  201.60 shade, < 0.368, 0.000, 0.930>, < 0.000, 0.000, 1.000>,  1.064
  3171.17,  205.20,  205.20 shade, < 0.426, 0.000, 0.905>, < 0.000, 0.000, 1.000>,  1.064
  3226.81,  208.80,  208.80 shade, < 0.482, 0.000, 0.876>, < 0.000, 0.000, 1.000>,  1.064
  3282.44,  212.40,  212.40 shade, < 0.536, 0.000, 0.844>, < 0.000, 0.000, 1.000>,  1.064
