solar 1.367000048048794e+03
albedo 3.499999940395355e-01
planet 2.360000071348623e+02
useTimeVaryAlbIR 0
useTimeVarySolar 0
DiffuseSolarFlux 0.000000000000000e+00
UseTimeVaryDiffuseSolar 0
DiffuseSkyIRFlux 0.000000000000000e+00
UseTimeVaryDiffuseSkyIR 0
Period 5.563459258777771e+03
FullOrbit 1
IsTerrestrial 0
IsFmh 0
315
     Time,    mean,   true, Illum       Sun Vector              Planet Vector    Orbit Radius
        0,    0.00,    0.00 sun,   < 0.063, 0.714,-0.697>, < 0.000, 0.000, 1.000>,  1.064
  55.6346,    3.60,    3.60 sun,   < 0.019, 0.714,-0.700>, < 0.000, 0.000, 1.000>,  1.064
  111.269,    7.20,    7.20 sun,   <-0.025, 0.714,-0.699>, < 0.000,-0.000, 1.000>,  1.064
  166.904,   10.80,   10.80 sun,   <-0.069, 0.714,-0.696>, < 0.000, 0.000, 1.000>,  1.064
  222.538,   14.40,   14.40 sun,   <-0.112, 0.714,-0.691>, < 0.000, 0.000, 1.000>,  1.064
  278.173,   18.00,   18.00 sun,   <-0.156, 0.714,-0.682>, < 0.000, 0.000, 1.000>,  1.064
  333.808,   21.60,   21.60 sun,   <-0.198, 0.714,-0.671>, < 0.000, 0.000, 1.000>,  1.064
  389.442,   25.20,   25.20 sun,   <-0.240, 0.714,-0.657>, < 0.000, 0.000, 1.000>,  1.064
  445.077,   28.80,   28.80 sun,   <-0.281, 0.714,-0.641>, < 0.000, 0.000, 1.000>,  1.064
  500.711,   32.40,   32.40 sun,   <-0.320, 0.714,-0.622>, < 0.000, 0.000, 1.000>,  1.064
  556.346,   36.00,   36.00 sun,   <-0.359, 0.714,-0.601>, <-0.000, 0.000, 1.000>,  1.064
  611.981,   39.60,   39.60 sun,   <-0.396, 0.714,-0.577>, <-0.000, 0.000, 1.000>,  1.064
  667.615,   43.20,   43.20 sun,   <-0.431, 0.714,-0.551>, < 0.000, 0.000, 1.000>,  1.064
   723.25,   46.80,   46.80 sun,   <-0.465, 0.714,-0.523>, < 0.000, 0.000, 1.000>,  1.064
  778.884,   50.40,   50.40 sun,   <-0.497, 0.714,-0.493>, <-0.000, 0.000, 1.000>,  1.064
  834.519,   54.00,   54.00 sun,   <-0.527, 0.714,-0.461>, < 0.000, 0.000, 1.000>,  1.064
  890.153,   57.60,   57.60 sun,   <-0.555, 0.714,-0.427>, <-0.000, 0.000, 1.000>,  1.064
  945.788,   61.20,   61.20 sun,   <-0.580, 0.714,-0.391>, <-0.000, 0.000, 1.000>,  1.064
  1001.42,   64.80,   64.80 sun,   <-0.604, 0.714,-0.354>, < 0.000, 0.000, 1.000>,  1.064
  1057.06,   68.40,   68.40 sun,   <-0.625, 0.714,-0.315>, < 0.000, 0.000, 1.000>,  1.064
  1112.69,   72.00,   72.00 sun,   <-0.643, 0.714,-0.275>, <-0.000, 0.000, 1.000>,  1.064
  1168.33,   75.60,   75.60 sun,   <-0.659, 0.714,-0.234>, <-0.000, 0.000, 1.000>,  1.064
  1223.96,   79.20,   79.20 sun,   <-0.673, 0.714,-0.192>, < 0.000,-0.000, 1.000>,  1.064
   1279.6,   82.80,   82.80 sun,   <-0.684, 0.714,-0.150>, < 0.000,-0.000, 1.000>,  1.064
  1335.23,   86.40,   86.40 sun,   <-0.692, 0.714,-0.107>, < 0.000, 0.000, 1.000>,  1.064
  1390.86,   90.00,   90.00 sun,   <-0.697, 0.714,-0.063>, < 0.000, 0.000, 1.000>,  1.064
   1446.5,   93.60,   93.60 sun,   <-0.700, 0.714,-0.019>, < 0.000, 0.000, 1.000>,  1.064
  1502.13,   97.20,   97.20 sun,   <-0.699, 0.714, 0.025>, < 0.000,-0.000, 1.000>,  1.064
  1557.77,  100.80,  100.80 sun,   <-0.696, 0.714, 0.069>, < 0.000, 0.000, 1.000>,  1.064
   1613.4,  104.40,  104.40 sun,   <-0.691, 0.714, 0.112>, <-0.000, 0.000, 1.000>,  1.064
  1669.04,  108.00,  108.00 sun,   <-0.682, 0.714, 0.156>, < 0.000, 0.000, 1.000>,  1.064
  1724.67,  111.60,  111.60 sun,   <-0.671, 0.714, 0.198>, <-0.000,-0.000, 1.000>,  1.064
  1780.31,  115.20,  115.20 sun,   <-0.657, 0.714, 0.240>, < 0.000,-0.000, 1.000>,  1.064
  1835.94,  118.80,  118.80 sun,   <-0.641, 0.714, 0.281>, < 0.000, 0.000, 1.000>,  1.064
  1891.58,  122.40,  122.40 sun,   <-0.622, 0.714, 0.320>, <-0.000, 0.000, 1.000>,  1.064
  1921.94,  124.36,  124.36 entry, <-0.611, 0.714, 0.341>, <-0.000,-0.000, 1.000>,  1.064
  1947.21,  126.00,  126.00 shade, <-0.601, 0.714, 0.359>, < 0.000,-0.000, 1.000>,  1.064
  2002.85,  129.60,  129.60 shade, <-0.577, 0.714, 0.396>, < 0.000, 0.000, 1.000>,  1.064
  2058.48,  133.20,  133.20 shade, <-0.551, 0.714, 0.431>, < 0.000,-0.000, 1.000>,  1.064
  2114.11,  136.80,  136.80 shade, <-0.523, 0.714, 0.465>, < 0.000, 0.000, 1.000>,  1.064
  2169.75,  140.40,  140.40 shade, <-0.493, 0.714, 0.497>, <-0.000, 0.000, 1.000>,  1.064
  2225.38,  144.00,  144.00 shade, <-0.461, 0.714, 0.527>, < 0.000, 0.000, 1.000>,  1.064
  2281.02,  147.60,  147.60 shade, <-0.427, 0.714, 0.555>, <-0.000, 0.000, 1.000>,  1.064
  2336.65,  151.20,  151.20 shade, <-0.391, 0.714, 0.580>, < 0.000,-0.000, 1.000>,  1.064
